amplitudes,centers,sigmas,gammas,y_fit,r_squared,r_squared_adj,chi2_red,area_0,area_1,area_2,area_3,area_4,wavenumber,spectra
,,,,0.00023473378093332776,,,,3.816818952129246e-10,1.5419310281831992e-09,2.201385290374273e-05,6.911585252647566e-05,1.6374603061954435e-07,1658.481,0.00023818010415746537
,,,,0.0002479679546927972,,,,4.134380597411623e-10,3.828979180904672e-09,3.5805572748191356e-05,3.883007568382341e-05,1.4147553850650022e-07,1656.553,0.0002484757510196591
,,,,0.00024000956867194865,,,,4.493266028270821e-10,1.0246282167861575e-08,5.748976330359917e-05,1.9040676683261058e-05,1.2350520634330266e-07,1654.625,0.00023782258835804298
,,,,0.00021263063302290013,,,,4.901446898369379e-10,2.7347159935149634e-08,8.854245021104511e-05,8.186285848887659e-06,1.0877225836613142e-07,1652.696,0.00021108928722537703
,,,,0.0001731300612767004,,,,5.367924365271633e-10,7.025269656191608e-08,0.00012807951727564757,3.1307363209544685e-06,9.654989900658988e-08,1650.768,0.00017380493408756975
,,,,0.00013137759298460707,,,,5.905004449272604e-10,1.7155172443960402e-07,0.00017176797010463692,1.1036639923975462e-06,8.628495478139708e-08,1648.839,0.00013397187105014194
,,,,9.686534562292389e-05,,,,6.527104578277367e-10,3.957912362119079e-07,0.00021176246107085727,3.941410206021238e-07,7.75869847710116e-08,1646.911,9.731680362662177e-05
,,,,7.666464080197421e-05,,,,7.254097572799805e-10,8.617254810603938e-07,0.00023890790564197516,1.690684905362707e-07,7.014364861954583e-08,1644.982,7.298516916062254e-05
,,,,7.478136638776191e-05,,,,8.110223228884524e-10,1.7676202371569923e-06,0.0002460372981014444,9.84953104706094e-08,6.373002140229224e-08,1643.054,7.331772078472026e-05
,,,,9.129537507376133e-05,,,,9.128828209253606e-10,3.416255667086396e-06,0.0002311861921754895,7.225922954983193e-08,5.81609783811024e-08,1641.125,9.460846727110215e-05
,,,,0.0001211110088788466,,,,1.0354956628549474e-09,6.221704871708241e-06,0.0001984152594109957,5.872799732312852e-08,5.3291567614819436e-08,1639.197,0.00012384673318091503
,,,,0.0001537085725946502,,,,1.184815194659573e-09,1.0669929635572993e-05,0.0001560533293597445,4.963948240227339e-08,4.9013178916668096e-08,1637.268,0.0001533574796672955
,,,,0.00017582960761082582,,,,1.3695312702853684e-09,1.7239804031571162e-05,0.00011310480413484106,4.27454009322466e-08,4.522982745754003e-08,1635.34,0.0001729486027199658
,,,,0.0001773835558669617,,,,1.6017382065051125e-09,2.622988645496743e-05,7.631412090101916e-05,3.727148734130163e-08,4.187111625839148e-08,1633.411,0.00017431292063491865
,,,,0.00015666713663906506,,,,1.8999601159389343e-09,3.759566259524515e-05,4.867390659335563e-05,3.2818184488266904e-08,3.887262833156963e-08,1631.483,0.0001577940436875892
,,,,0.00012095769165607345,,,,2.2921354110124686e-09,5.074476697846192e-05,3.006348959619431e-05,2.914037011901041e-08,3.6187193340702e-08,1629.554,0.00012572407588825588
,,,,8.190250370321105e-05,,,,2.8245903361007834e-09,6.451939951418547e-05,1.8555701023180434e-05,2.606012292937554e-08,3.377017937730102e-08,1627.626,8.49244846552114e-05
,,,,4.9227033537427136e-05,,,,3.5776149053239416e-09,7.725483906555868e-05,1.1858355617159064e-05,2.345439437779576e-08,3.158908015162383e-08,1625.698,4.7157988660261984e-05
,,,,2.7591158371694086e-05,,,,4.75918908012004e-09,8.713204219708905e-05,8.053811221363612e-06,2.1226475874887318e-08,2.9612115727211376e-08,1623.769,2.1348258956167503e-05
,,,,1.7825200553223398e-05,,,,8.13978538075577e-09,9.255339849880368e-05,5.861219598550315e-06,1.9307384035082896e-08,2.7816341491445325e-08,1621.841,1.2193667723123744e-05
,,,,1.992377148177347e-05,,,,3.769586196660257e-08,9.259683574119849e-05,4.527184202593669e-06,1.764007665938433e-08,2.6178586330281853e-08,1619.912,1.9344057066647357e-05
,,,,3.236055607208346e-05,,,,3.211640261929194e-07,8.725473573492436e-05,3.6543706686899515e-06,1.6183214113018612e-08,2.4682315805762597e-08,1617.984,3.504101345265071e-05
,,,,4.6483546836975484e-05,,,,2.1538227599832995e-06,7.743625698899261e-05,3.040183064358662e-06,1.4901112775873597e-08,2.3310281366235674e-08,1616.055,4.7423188510460995e-05
,,,,4.882581515483168e-05,,,,9.474313895833972e-06,6.473159435526275e-05,2.583326318787023e-06,1.3767717108807492e-08,2.205035095208331e-08,1614.127,4.734276394408336e-05
,,,,3.628554959829236e-05,,,,2.670190820749539e-05,5.096656636093924e-05,2.2293501139589387e-06,1.2760144016273142e-08,2.089002490934714e-08,1612.198,3.526846281141732e-05
,,,,1.971708521698548e-05,,,,4.801824495358859e-05,3.779014413710185e-05,1.9470882005452884e-06,1.1859819942120292e-08,1.9818525894126872e-08,1610.27,2.0245109673610736e-05
,,,,8.763004865844377e-06,,,,5.5010666882017826e-05,2.639564405814829e-05,1.7175133729309024e-06,1.105272223258315e-08,1.8828003300316924e-08,1608.341,1.0305165683801718e-05
,,,,3.995221869886071e-06,,,,4.014755078729001e-05,1.7361522054150992e-05,1.5275337459861713e-06,1.0325579184556574e-08,1.7909559724883065e-08,1606.413,7.279288736471787e-06
,,,,2.3002290343523895e-06,,,,1.867902838849346e-05,1.0758181796506305e-05,1.3683827373540698e-06,9.668748175169811e-09,1.705722256003403e-08,1604.484,7.36670188952006e-06
,,,,1.645388894334485e-06,,,,5.545524730094927e-06,6.277389557306651e-06,1.2334127277503564e-06,9.072786535232006e-09,1.6263986427265125e-08,1602.556,5.164824942189883e-06
,,,,1.3129830543444715e-06,,,,1.0606255116618535e-06,3.4511852025817088e-06,1.1179563555578151e-06,8.530894660456273e-09,1.5525254019212047e-08,1600.627,0.0
