amplitudes,centers,sigmas,gammas,y_fit,r_squared,r_squared_adj,chi2_red,area_0,area_1,area_2,area_3,area_4,wavenumber,spectra
,,,,0.00022314161217815073,,,,1.4417350406023505e-08,0.00014163537819446759,1.8914646405182208e-06,1.0017267997906235e-09,3.2303860543531e-11,1652.696,0.00021697107052446172
,,,,0.0001864830595557501,,,,4.261189704252296e-08,0.0001853591111719593,1.0804872921058293e-06,8.20526880578274e-10,2.8667761916349716e-11,1650.768,0.0001874686449680955
,,,,0.00014354229421605216,,,,1.169970898445601e-07,0.00022229518743144944,7.287167039934408e-07,6.853286212899704e-10,2.5624241985387558e-11,1648.839,0.00015068716757077173
,,,,0.00010373394560907174,,,,2.9871932058854347e-07,0.00024365873901855745,5.393822723241577e-07,5.814267520676117e-10,2.304663732684049e-11,1646.911,0.00010599259915726289
,,,,7.451252857411863e-05,,,,7.085495209253925e-07,0.00024377261881838993,4.2014528377483345e-07,4.998080060988837e-10,2.084534316611473e-11,1644.982,6.867064556946249e-05
,,,,6.010296789122477e-05,,,,1.5621178175262054e-06,0.00022262147937454084,3.3811383905393737e-07,4.3442412890312064e-10,1.894866854394286e-11,1643.054,5.58782200130959e-05
,,,,5.92193499914654e-05,,,,3.202188726458964e-06,0.00018578680918589254,2.786234853587173e-07,3.811719730261158e-10,1.7301479280287784e-11,1641.125,6.172031404434271e-05
,,,,6.365710260656604e-05,,,,6.0988255579697666e-06,0.00014210868127181904,2.339281458996647e-07,3.3724337645144147e-10,1.586285339482842e-11,1639.197,6.701955515464364e-05
,,,,6.306511405480462e-05,,,,1.0799454134282967e-05,0.00010010549637108797,1.9936506613309973e-07,3.0053031776523057e-10,1.459743446183348e-11,1637.268,6.179879204303316e-05
,,,,5.543328756826591e-05,,,,1.7768729221155726e-05,6.552790320057542e-05,1.7206254972838703e-07,2.69554861908876e-10,1.3479375278149534e-11,1635.34,5.211041410571436e-05
,,,,5.0205738864148315e-05,,,,2.717904635508525e-05,4.0415235175259704e-05,1.5007084196707528e-07,2.4314778977487754e-10,1.2485487284553054e-11,1633.411,5.1018222422676473e-05
,,,,5.4851369710411415e-05,,,,3.863171215896293e-05,2.4037737215500215e-05,1.3209756176686236e-07,2.2047058247966702e-10,1.1598797253963639e-11,1631.483,5.9184606390119474e-05
,,,,6.0650140731683106e-05,,,,5.104391792209353e-05,1.4240088605931082e-05,1.171953142571138e-07,2.0082966597493474e-10,1.0803529526434036e-11,1629.554,6.16474147070813e-05
,,,,5.3675631830456394e-05,,,,6.26770997682367e-05,8.744388862536011e-06,1.0470802981965221e-07,1.8372080017748797e-10,1.0088174727501476e-11,1627.626,5.002665581738102e-05
,,,,3.719096272216715e-05,,,,7.15370654890473e-05,5.7505713150616274e-06,9.41260593134358e-08,1.6871006606505548e-10,9.441665150333545e-12,1625.698,3.430220645149086e-05
,,,,2.706768018274986e-05,,,,7.588416346341898e-05,4.100716096433465e-06,8.508665052919635e-08,1.554798017102826e-10,8.855983175072723e-12,1623.769,2.771096714940532e-05
,,,,3.130386192509009e-05,,,,7.481618484789136e-05,3.1371605211977047e-06,7.729423464056505e-08,1.437465002139898e-10,8.323157480315024e-12,1621.841,3.3370232069229e-05
,,,,4.583937469536303e-05,,,,6.855998677268652e-05,2.525225890928842e-06,7.053486754374111e-08,1.3330227028034454e-10,7.837473109246043e-12,1619.912,4.700892133857173e-05
,,,,6.177054156452025e-05,,,,5.8389843525220504e-05,2.1016336135604857e-06,6.462683037590039e-08,1.2395506635181112e-10,7.39305692693214e-12,1617.984,6.121985292506225e-05
,,,,7.047981443428468e-05,,,,4.622401001756256e-05,1.7885879313320768e-06,5.943737280007503e-08,1.1556444326830846e-10,6.985753892788737e-12,1616.055,6.827604219440526e-05
,,,,6.718434275853282e-05,,,,3.401212268965111e-05,1.5463187825913324e-06,5.485164462130722e-08,1.0799999742386475e-10,6.611336175267293e-12,1614.127,6.594187854280018e-05
,,,,5.340912251610873e-05,,,,2.3256365780918726e-05,1.3529279703731962e-06,5.077710675893451e-08,1.0115307722324088e-10,6.2661715571537486e-12,1612.198,5.5779234478809804e-05
,,,,3.5461094988542976e-05,,,,1.4783018917487257e-05,1.1953565280574147e-06,4.714383762100056e-08,9.494176094873587e-11,5.947601417596731e-12,1610.27,3.865411844625243e-05
,,,,1.9752670809069282e-05,,,,8.731592803280273e-06,1.0647138575337251e-06,4.388685131839203e-08,8.928388832405913e-11,5.652655090078011e-12,1608.341,1.8800807715595284e-05
,,,,9.36995308833243e-06,,,,4.7947943970546016e-06,9.550702976684722e-07,4.095868111567141e-08,8.41206775672918e-11,5.37932245210951e-12,1606.413,4.781858349705149e-06
,,,,3.944761185156068e-06,,,,2.4463730871845226e-06,8.619262506292464e-07,3.831371541317292e-08,7.939122906757573e-11,5.125278769909925e-12,1604.484,0.0
