,location,protein,mean_conc,sd2,,,,,,,,,,,,,,,,,,,,,total,,,,NIRS Crude Protein,,,,
38,Reichersberg,albumins,2.25,0.13,,2.25 ± 0.13,,globulins,0.75,0.03,0.75 ± 0.03,,,gliadins,4.91,0.47,4.91 ± 0.47,,,glutenins,1.52,0.13,1.52 ± 0.13,,9.43,0.51,9.43 ± 0.51,,9,,,,
39,Reichersberg,albumins,2.47,0.1,,2.47 ± 0.1,,globulins,0.9,0.1,0.9 ± 0.1,,,gliadins,4.71,0.37,4.71 ± 0.37,,,glutenins,1.08,0.05,1.08 ± 0.05,,9.16,0.4,9.16 ± 0.4,,7.5,,,,
40,Reichersberg,albumins,2.07,0.12,,2.07 ± 0.12,,globulins,1.48,0.08,1.48 ± 0.08,,,gliadins,4.82,0.03,4.82 ± 0.03,,,glutenins,0.84,0.04,0.84 ± 0.04,,9.21,0.15,9.21 ± 0.15,,10.2,,,,
41,Reichersberg,albumins,2.1,0.25,,2.1 ± 0.25,,globulins,0.77,0.01,0.77 ± 0.01,,,gliadins,4.67,0.03,4.67 ± 0.03,,,glutenins,1.37,0.08,1.37 ± 0.08,,8.91,0.26,8.91 ± 0.26,,8.2,,,,
42,Reichersberg,albumins,2.39,0.05,,2.39 ± 0.05,,globulins,0.52,0.03,0.52 ± 0.03,,,gliadins,4.54,0.16,4.54 ± 0.16,,,glutenins,1.37,0.04,1.37 ± 0.04,,8.82,0.17,8.82 ± 0.17,,9.4,,,,
43,Reichersberg,albumins,2.03,0.02,,2.03 ± 0.02,,globulins,1.13,0.05,1.13 ± 0.05,,,gliadins,5.07,0.36,5.07 ± 0.36,,,glutenins,1.06,0.13,1.06 ± 0.13,,9.29,0.39,9.29 ± 0.39,,10.3,,,,
44,Reichersberg,albumins,2.15,0.07,,2.15 ± 0.07,,globulins,0.71,0.02,0.71 ± 0.02,,,gliadins,4.69,0.07,4.69 ± 0.07,,,glutenins,1.53,0.22,1.53 ± 0.22,,9.08,0.24,9.08 ± 0.24,,9.4,,,,
45,Reichersberg,albumins,2.06,0.03,,2.06 ± 0.03,,globulins,0.57,0.09,0.57 ± 0.09,,,gliadins,4.59,0.37,4.59 ± 0.37,,,glutenins,1.4,0.03,1.4 ± 0.03,,8.62,0.38,8.62 ± 0.38,,8.8,,,,
46,Zinsenhof,albumins,2.49,0.08,,2.49 ± 0.08,,globulins,1.11,0.03,1.11 ± 0.03,,,gliadins,5.26,0.17,5.26 ± 0.17,,,glutenins,3.32,0.35,3.32 ± 0.35,,12.18,0.4,12.18 ± 0.4,,12.1,,,,
47,Zinsenhof,albumins,2.08,0.13,,2.08 ± 0.13,,globulins,0.99,0.02,0.99 ± 0.02,,,gliadins,4.7,0.47,4.7 ± 0.47,,,glutenins,3.2,0.43,3.2 ± 0.43,,10.97,0.65,10.97 ± 0.65,,11.9,,,,
48,Zinsenhof,albumins,2.08,0.09,,2.08 ± 0.09,,globulins,1.28,0.06,1.28 ± 0.06,,,gliadins,4.96,0.74,4.96 ± 0.74,,,glutenins,2.64,0.14,2.64 ± 0.14,,10.96,0.76,10.96 ± 0.76,,12,,,,
49,Zinsenhof,albumins,2.25,0.11,,2.25 ± 0.11,,globulins,1.43,0.08,1.43 ± 0.08,,,gliadins,5.4,0.64,5.4 ± 0.64,,,glutenins,2.63,0.18,2.63 ± 0.18,,11.71,0.68,11.71 ± 0.68,,11.1,,,,
